Combined_Key,Population
"Autauga, Alabama, US",55869
"Baldwin, Alabama, US",223234
"Barbour, Alabama, US",24686
"Bibb, Alabama, US",22394
"Blount, Alabama, US",57826
"Bullock, Alabama, US",10101
"Butler, Alabama, US",19448
"Calhoun, Alabama, US",113605
"Chambers, Alabama, US",33254
"Cherokee, Alabama, US",26196
"Chilton, Alabama, US",44428
"Choctaw, Alabama, US",12589
"Clarke, Alabama, US",23622
"Clay, Alabama, US",13235
"Cleburne, Alabama, US",14910
"Coffee, Alabama, US",52342
"Colbert, Alabama, US",55241
"Conecuh, Alabama, US",12067
"Coosa, Alabama, US",10663
"Covington, Alabama, US",37049
"Crenshaw, Alabama, US",13772
"Cullman, Alabama, US",83768
"Dale, Alabama, US",49172
"Dallas, Alabama, US",37196
"DeKalb, Alabama, US",71513
"Elmore, Alabama, US",81209
"Escambia, Alabama, US",36633
"Etowah, Alabama, US",102268
"Fayette, Alabama, US",16302
"Franklin, Alabama, US",31362
"Geneva, Alabama, US",26271
"Greene, Alabama, US",8111
"Hale, Alabama, US",14651
"Henry, Alabama, US",17205
"Houston, Alabama, US",105882
"Jackson, Alabama, US",51626
"Jefferson, Alabama, US",658573
"Lamar, Alabama, US",13805
"Lauderdale, Alabama, US",92729
"Lawrence, Alabama, US",32924
"Lee, Alabama, US",164542
"Limestone, Alabama, US",98915
"Lowndes, Alabama, US",9726
"Macon, Alabama, US",18068
"Madison, Alabama, US",372909
"Marengo, Alabama, US",18863
"Marion, Alabama, US",29709
"Marshall, Alabama, US",96774
"Mobile, Alabama, US",413210
"Monroe, Alabama, US",20733
"Montgomery, Alabama, US",226486
"Morgan, Alabama, US",119679
"Perry, Alabama, US",8923
"Pickens, Alabama, US",19930
"Pike, Alabama, US",33114
"Randolph, Alabama, US",22722
"Russell, Alabama, US",57961
"St. Clair, Alabama, US",89512
"Shelby, Alabama, US",217702
"Sumter, Alabama, US",12427
"Talladega, Alabama, US",79978
"Tallapoosa, Alabama, US",40367
"Tuscaloosa, Alabama, US",209355
"Walker, Alabama, US",63521
"Washington, Alabama, US",16326
"Wilcox, Alabama, US",10373
"Winston, Alabama, US",23629
"Aleutians East, Alaska, US",3337
"Aleutians West, Alaska, US",5634
"Anchorage, Alaska, US",288000
"Bethel, Alaska, US",18386
"Bristol Bay, Alaska, US",836
"Denali, Alaska, US",2097
"Dillingham, Alaska, US",4916
"Fairbanks North Star, Alaska, US",96849
"Haines, Alaska, US",2530
"Hoonah-Angoon, Alaska, US",2148
"Juneau, Alaska, US",31974
"Kenai Peninsula, Alaska, US",58708
"Ketchikan Gateway, Alaska, US",13901
"Kodiak Island, Alaska, US",12998
"Kusilvak, Alaska, US",8314
"LakePeninsula, Alaska, US",1592
"Matanuska-Susitna, Alaska, US",108317
"Nome, Alaska, US",10004
"North Slope, Alaska, US",9832
"Northwest Arctic, Alaska, US",7621
"Petersburg, Alaska, US",3266
"Prince of Wales-Hyder, Alaska, US",6203
"Sitka, Alaska, US",8493
"Skagway, Alaska, US",1183
"Southeast Fairbanks, Alaska, US",6893
"Valdez-Cordova, Alaska, US",9202
"Wrangell, Alaska, US",2502
"Yakutat, Alaska, US",579
"Yukon-Koyukuk, Alaska, US",5230
"Apache, Arizona, US",71887
"Cochise, Arizona, US",125922
"Coconino, Arizona, US",143476
"Gila, Arizona, US",54018
"Graham, Arizona, US",38837
"Greenlee, Arizona, US",9498
"La Paz, Arizona, US",21108
"Maricopa, Arizona, US",4485414
"Mohave, Arizona, US",212181
"Navajo, Arizona, US",110924
"Pima, Arizona, US",1047279
"Pinal, Arizona, US",462789
"Santa Cruz, Arizona, US",46498
"Yavapai, Arizona, US",235099
"Yuma, Arizona, US",213787
"Arkansas, Arkansas, US",17486
"Ashley, Arkansas, US",19657
"Baxter, Arkansas, US",41932
"Benton, Arkansas, US",279141
"Boone, Arkansas, US",37432
"Bradley, Arkansas, US",10763
"Calhoun, Arkansas, US",5189
"Carroll, Arkansas, US",28380
"Chicot, Arkansas, US",10118
"Clark, Arkansas, US",22320
"Clay, Arkansas, US",14551
"Cleburne, Arkansas, US",24919
"Cleveland, Arkansas, US",7956
"Columbia, Arkansas, US",23457
"Conway, Arkansas, US",20846
"Craighead, Arkansas, US",110332
"Crawford, Arkansas, US",63257
"Crittenden, Arkansas, US",47955
"Cross, Arkansas, US",16419
"Dallas, Arkansas, US",7009
"Desha, Arkansas, US",11361
"Drew, Arkansas, US",18219
"Faulkner, Arkansas, US",126007
"Franklin, Arkansas, US",17715
"Fulton, Arkansas, US",12477
"Garland, Arkansas, US",99386
"Grant, Arkansas, US",18265
"Greene, Arkansas, US",45325
"Hempstead, Arkansas, US",21532
"Hot Spring, Arkansas, US",33771
"Howard, Arkansas, US",13202
"Independence, Arkansas, US",37825
"Izard, Arkansas, US",13629
"Jackson, Arkansas, US",16719
"Jefferson, Arkansas, US",66824
"Johnson, Arkansas, US",26578
"Lafayette, Arkansas, US",6624
"Lawrence, Arkansas, US",16406
"Lee, Arkansas, US",8857
"Lincoln, Arkansas, US",13024
"Little River, Arkansas, US",12259
"Logan, Arkansas, US",21466
"Lonoke, Arkansas, US",73309
"Madison, Arkansas, US",16576
"Marion, Arkansas, US",16694
"Miller, Arkansas, US",43257
"Mississippi, Arkansas, US",40651
"Monroe, Arkansas, US",6701
"Montgomery, Arkansas, US",8986
"Nevada, Arkansas, US",8252
"Newton, Arkansas, US",7753
"Ouachita, Arkansas, US",23382
"Perry, Arkansas, US",10455
"Phillips, Arkansas, US",17782
"Pike, Arkansas, US",10718
"Poinsett, Arkansas, US",23528
"Polk, Arkansas, US",19964
"Pope, Arkansas, US",64072
"Prairie, Arkansas, US",8062
"Pulaski, Arkansas, US",391911
"Randolph, Arkansas, US",17958
"St. Francis, Arkansas, US",24994
"Saline, Arkansas, US",122437
"Scott, Arkansas, US",10281
"Searcy, Arkansas, US",7881
"Sebastian, Arkansas, US",127827
"Sevier, Arkansas, US",17007
"Sharp, Arkansas, US",17442
"Stone, Arkansas, US",12506
"Union, Arkansas, US",38682
"Van Buren, Arkansas, US",16545
"Washington, Arkansas, US",239187
"White, Arkansas, US",78753
"Woodruff, Arkansas, US",6320
"Yell, Arkansas, US",21341
"Alameda, California, US",1671329
"Alpine, California, US",1129
"Amador, California, US",39752
"Butte, California, US",219186
"Calaveras, California, US",45905
"Colusa, California, US",21547
"Contra Costa, California, US",1153526
"Del Norte, California, US",27812
"El Dorado, California, US",192843
"Fresno, California, US",999101
