Combined_Key,Population
"Alabama, US",4903185
"Alaska, US",731545
"Arizona, US",7278717
"Arkansas, US",3017804
"California, US",39512223
"Colorado, US",5758736
"Connecticut, US",3565287
"Delaware, US",973764
"District of Columbia, US",705749
"Florida, US",21477737
"Georgia, US",10617423
"Hawaii, US",1415872
"Idaho, US",1787065
"Illinois, US",12671821
"Indiana, US",6732219
"Iowa, US",3155070
"Kansas, US",2913314
"Kentucky, US",4467673
"Louisiana, US",4648794
"Maine, US",1344212
"Maryland, US",6045680
"Massachusetts, US",6892503
"Michigan, US",9986857
"Minnesota, US",5639632
"Mississippi, US",2976149
"Missouri, US",6137428
"Montana, US",1068778
"Nebraska, US",1934408
"Nevada, US",3080156
"New Hampshire, US",1359711
"New Jersey, US",8882190
"New Mexico, US",2096829
"New York, US",19453561
"North Carolina, US",10488084
"North Dakota, US",762062
"Ohio, US",11689100
"Oklahoma, US",3956971
"Oregon, US",4217737
"Pennsylvania, US",12801989
"Rhode Island, US",1059361
"South Carolina, US",5148714
"South Dakota, US",884659
"Tennessee, US",6829174
"Texas, US",28995881
"Utah, US",3205958
"Vermont, US",623989
"Virginia, US",8535519
"Washington, US",7614893
"West Virginia, US",1792147
"Wisconsin, US",5822434
"Wyoming, US",578759
"Hong Kong, China",7500700
"Puerto Rico, US",3193694
"Macau, China",696100
"French Polynesia, France",275918
"New Caledonia, France",271407
"Guam, US",172400
"Curaçao, Netherlands",156223
"Aruba, Netherlands",112190
"Jersey, United Kingdom",106800
"U.S. Virgin Islands, US",104578
"Isle of Man, United Kingdom",83314
"Cayman Islands, United Kingdom",65813
"Bermuda, United Kingdom",64027
"Guernsey, United Kingdom",63196
"American Samoa, US",56700
"Greenland, Denmark",56081
"Northern Mariana Islands, US",56200
"Faroe Islands, Denmark",52428
"Turks and Caicos Islands, United Kingdom",42953
"Sint Maarten, Netherlands",40614
"Saint Martin, France",35334
"Gibraltar, United Kingdom",33691
"British Virgin Islands, United Kingdom",30030
"Åland Islands, Finland",29914
"Cook Islands, NZ",15200
"Anguilla, United Kingdom",14869
"Wallis and Futuna, France",11700
"Saint Barthélemy, France",9961
"Saint Pierre and Miquelon, France",5997
"Saint Helena, Ascension and Tristan da Cunha, United Kingdom",5633
"Montserrat, United Kingdom",4989
"Falkland Islands, United Kingdom",3198
"Christmas Island, Australia",1955
"Norfolk Island, Australia",1735
"Niue, NZ",1520
"Tokelau, NZ",1400
"Cocos (Keeling Islands), Australia",555
"Pitcairn Islands, United Kingdom",50
